Name,ID,Weight
Jim Caldwell,76328,1
Raymond Brown,76282,1
Earl Gardner,76778,1
Igor Rakocevic,2080,1
Robert Franks,1629606,1
Ed Gayda,76797,1
Thomas Hamilton,676,2
Lamont Strothers,78273,2
Jimmy Jones,77186,3
Antonio Lang,226,6
Larry Wright,78623,6
Brady Walker,78434,4
Thomas Robinson,203080,5
Woody Sauldsberry,78064,7
Ronny Turiaf,101142,10
Elvin Hayes,76979,16
Popeye Jones,461,11
Vonteego Cummings,1907,3
Oliver Miller,932,9
Klay Thompson,202691,11
Gary Forbes,201814,2
Blue Edwards,898,10
Earl Dodd,76580,1
Matt Freije,2782,2
Isaiah Taylor,1627819,2
Mike Bantom,76095,9
Ty Lawson,201951,8
John Battle,174,10
Ray Williams,78571,10
Fred Nagy,77684,1
Tom Henderson,76996,9
Lee Shaffer,78121,3
Johnny Taylor,1511,3
John Richter,77954,1
Bill Edwards,76646,1
Omari Johnson,204179,1
Willie Smith,78208,4
Tito Horford,77057,3
Mike Harris,200839,4
Awvee Storey,2852,3
Chris Wright,203203,1
Forrest McKenzie,77542,1
Winfred Jacobs,77112,1
Vincent Poirier,1629738,2
Manny Harris,202412,4
Joe Barry Carroll,76353,10
Reggie Evans,2501,13
Jacob Evans,1628980,2
George Patterson,77811,1
Dave Feitl,76703,5
Randy Foye,200751,11
Derek Fisher,965,18
Anthony Lamb,1630237,3
Andy Panko,1950,1
Omari Spellman,1629016,2
John Block,76187,10
Juwan Howard,436,19
Michael Carter-Williams,203487,9
Bob Royer,78033,1
Andrew Bynum,101115,8
Phil Smith,78199,9
Chris Washburn,78463,2
Jett Howard,1641724,1
Claude Gregory,76884,2
Belus Smawley,78176,6
Leo Klier,77283,2
Mac Otten,77779,1
Jabari Walker,1631133,2
Melvin Newbern,1116,1
CJ McCollum,203468,11
Keegan Murray,1631099,2
Gene Wiley,78526,4
Robert Pack,123,13
Pete Lalich,77329,1
Fran Curran,76492,2
Jerry Bird,76168,1
Ish Wainright,1630688,3
Bill Davis,76538,1
Eric Dawson,201286,1
Al Henry,77000,2
Steve Malovic,77450,1
Juan Dixon,2413,7
Sherwin Raiken,77903,1
Walter Dukes,76611,8
Mateen Cleaves,2043,6
Jim Brasco,76241,1
Richard Petruska,77846,1
Donnie Freeman,76754,1
Marcus Banks,2556,8
Roger Burkman,76304,1
Ruben Wolkowyski,2106,2
Brian Oliver,1680,4
Eric Johnson,77145,1
Michael Gbinije,1627771,1
Keith McCord,77515,1
Colby Jones,1641732,1
Claude Overton,77780,1
Nick Weatherspoon,78475,7
Nick Young,201156,12
Dan Roundfield,78025,11
Peyton Siva,203491,1
Don Hanrahan,76938,1
Jayson Williams,420,9
Arlen Bockhorn,76191,7
Linton Johnson,2669,6
Josh Hall,1630221,1
Bill Wennington,82,13
Adam Morrison,200747,3
Trenton Hassell,2239,9
Kyle Collinsworth,1627858,1
Lenny Wilkens,78530,15
Ian Lockhart,1100,1
Don Kojis,77295,12
Bob Sims,78160,1
Allan Bristow,76257,9
Mamadou N'diaye,2055,5
Charles Dudley,76607,6
Mike Ratliff,77915,2
Amar'e Stoudemire,2405,14
Darrun Hilliard,1626199,3
Jack Stephens,78249,1
Matthew Hickey,77016,1
Furkan Korkmaz,1627788,7
Ed O'Bannon,709,2
Cheick Diallo,1627767,5
Mike McCarron,77503,2
Gian Clavell,1628492,1
Othyus Jeffers,201785,3
Kannard Johnson,77153,1
Chucky Brown,359,13
Rakeem Christmas,1626176,2
Davion Mitchell,1630558,3
Rod Foster,76742,3
Jack Phelan,77850,1
Keifer Sykes,1626208,1
Terry Dozier,76596,1
Oliver Lafayette,201802,1
Bismack Biyombo,202687,13
Vasilije Micic,203995,1
Anthony Goldwire,924,8
John Celestand,1911,1
Robert Williams III,1629057,6
Todd Lichti,77387,5
Andray Blatche,101154,9
Zeljko Rebraca,1442,5
Bob Schafer,78072,1
Jared Sullinger,203096,5
Olivier-Maxence Prosper,1641765,1
Whitey Von Nieda,78422,1
Dion Waiters,203079,8
Derek Anderson,1507,11
Ousmane Dieng,1631172,2
Dennis Nutt,77738,1
Steve Hayes,76980,5
Kenny Natt,77692,3
Ron Williams,78567,8
Earl Clark,201947,6
Marqus Blakely,202392,0
Ed Beach,76129,1
Gus Bailey,76083,5
Kenny Hasbrouck,202238,0
Joe Holland,77041,3
Kevin Loughery,77411,11
J.R. Bremer,2452,2
Rob Rensberger,77942,1
Trevon Duval,1628979,1
Greg Fillmore,76715,2
George A. Pastushok,77807,1
Grant Williams,1629684,5
Bob Carney,76345,1
Michael Jackson,77104,3
Jim McMillian,77554,9
C.J. Watson,201228,10
Brad Holland,77040,3
Lance Allred,200984,1
Plummer Lott,77410,2
Predrag Savovic,2453,1
Dick Eichhorst,76651,1
Donte DiVincenzo,1628978,6
Ron Bonham,76201,2
Caleb Martin,1628997,5
Dylan Windler,1629685,4
Ron Filipek,76714,1
Marty Passaglia,77806,2
Don Carlson,76344,4
Myron Jackson,77105,1
Shellie McMillon,77555,4
Anthony Tolliver,201229,13
Erik Daniels,2845,1
Mario Hezonja,1626209,5
Sean Higgins,925,6
Jan Vesely,202686,3
Jusuf Nurkic,203994,10
Leon Smith,1910,2
Terence Davis,1629056,4
Kennard Winchester,78589,3
Ben Scharnus,78073,2
Marcus Liberty,77386,4
Ryan Gomes,101155,8
Nate Williams,1631466,2
Fab Melo,203097,1
Danny Vranes,78423,7
Brandin Podziemski,1641764,1
Bradley Beal,203078,12
Austin Croshere,1506,12
Edmund Sherod,78136,1
Terquavion Smith,1631173,0
Pete Williams,78566,2
Spencer Haywood,76981,12
Willie Naulls,77693,10
George Lehmann,77369,2
Tyler Hansbrough,201946,7
Sergei Bazarevich,76128,1
Mark Macon,1855,6
John Bagley,76082,11
Fred Diute,76578,1
John Brisker,76256,3
Jake Tsakalidis,2054,7
Ed Ratleff,77914,5
Chris Wilcox,2404,11
Lionel Malamed,77447,1
Carldell Johnson,201291,1
Phil Hicks,77017,2
Timothe Luwawu-Cabarrot,1627789,6
Sam Worthen,78618,2
Mangok Mathiang,1628493,1
Kevin Garnett,708,21
Mel McCants,77502,1
Mychal Mulder,1628539,3
Jonathon Simmons,203613,4
John Johnson,77152,12
Anfernee Hardaway,358,14
